Technology,CPU_Cores,Table_name,Mean,Low_CI,High_CI
HDFS,1_core,results_supplier_tpch_sf1,187168.53051563672,123265.55632210894,255361.73301604216
HDFS,1_core,results_supplier_tpch_sf10,1736907.9980446957,1653919.4086388256,1811928.5779741546
HDFS,1_core,results_supplier_tpch_sf100,1856831.6722373334,1810613.1800847428,1902653.6133615985
HDFS,1_core,results_lineitem_tpch_sf1,3078512.996536319,3047839.142763866,3108694.3137197215
HDFS,1_core,results_lineitem_tpch_sf10,2610891.464254805,2592681.853920018,2626892.407638218
HDFS,2_core,results_supplier_tpch_sf1,241978.33334037577,228370.18790493917,254224.1997698749
HDFS,2_core,results_supplier_tpch_sf10,1757179.3028067253,1494018.7634222952,1951812.2983938279
HDFS,2_core,results_supplier_tpch_sf100,4271121.398710115,4093989.177398807,4438846.125741002
HDFS,2_core,results_lineitem_tpch_sf1,6605543.238016065,6539936.319626626,6669087.563893458
HDFS,2_core,results_lineitem_tpch_sf10,5257046.583396325,5177323.9513423005,5320743.341035159
HDFS,4_core,results_supplier_tpch_sf1,230619.25847227185,196373.66513976073,254932.32118475277
HDFS,4_core,results_supplier_tpch_sf10,1804731.0605002043,1727272.569920317,1859407.1900340994
HDFS,4_core,results_supplier_tpch_sf100,5305742.391141005,3969956.990122094,6597374.041093527
HDFS,4_core,results_lineitem_tpch_sf1,11294126.199011983,10506919.395907046,11816033.13946043
HDFS,4_core,results_lineitem_tpch_sf10,10752475.119100068,10677356.476258025,10822556.201656507
HDFS,8_core,results_supplier_tpch_sf1,230925.18884421125,195345.44361627425,257360.679945628
HDFS,8_core,results_supplier_tpch_sf10,1832056.8341404747,1765756.844362763,1891544.5675582776
HDFS,8_core,results_supplier_tpch_sf100,5750343.660903829,5615170.710204666,5885017.954384735
HDFS,8_core,results_lineitem_tpch_sf1,12065182.027709343,11760178.932202747,12331709.779436853
HDFS,8_core,results_lineitem_tpch_sf10,20391779.569449887,19584753.638810195,21011721.36259001
LocalFS,1_core,results_supplier_tpch_sf1,2384586.9914665422,1552085.5272207602,3721360.681556685
LocalFS,1_core,results_supplier_tpch_sf10,3708257.8755222037,2912436.0008216463,5084757.15688202
LocalFS,1_core,results_supplier_tpch_sf100,2380403.8117328864,2295501.546397221,2462258.1432673126
LocalFS,1_core,results_lineitem_tpch_sf1,3566674.545879786,3520297.9663317925,3614870.0675339876
LocalFS,1_core,results_lineitem_tpch_sf10,3066626.4450533027,3033789.9696076903,3101271.6527841063
LocalFS,2_core,results_supplier_tpch_sf1,3479952.8583278283,3339119.821740892,3592422.5522527327
LocalFS,2_core,results_supplier_tpch_sf10,7652747.099338605,6210296.385241837,9604332.931170072
LocalFS,2_core,results_supplier_tpch_sf100,5005616.4254855625,4749179.437160508,5302536.564399998
LocalFS,2_core,results_lineitem_tpch_sf1,8025196.349437144,7893332.518531904,8162844.935081884
LocalFS,2_core,results_lineitem_tpch_sf10,6351267.151036902,6304155.388649517,6401994.6722627105
LocalFS,4_core,results_supplier_tpch_sf1,3720941.0459989663,3572450.857867247,3854749.7384081
LocalFS,4_core,results_supplier_tpch_sf10,10830884.57592481,9802960.624819811,11735928.6343933
LocalFS,4_core,results_supplier_tpch_sf100,11146067.431072265,10522540.716315815,11921622.57225792
LocalFS,4_core,results_lineitem_tpch_sf1,16206973.309548201,15775943.870190306,16657937.253450926
LocalFS,4_core,results_lineitem_tpch_sf10,12473404.927973153,12427787.284243949,12517259.671913268
LocalFS,8_core,results_supplier_tpch_sf1,3390322.421641633,3256074.8650000636,3510692.315615054
LocalFS,8_core,results_supplier_tpch_sf10,10545410.876856174,9465275.365905369,11463060.736196177
LocalFS,8_core,results_supplier_tpch_sf100,23212466.795853555,20701230.334563375,25414131.22197572
LocalFS,8_core,results_lineitem_tpch_sf1,34191396.37109256,33185181.2919328,35275254.56023222
LocalFS,8_core,results_lineitem_tpch_sf10,26252420.19986295,26131518.364339735,26373488.804147042
HUDI,1_core,results_supplier_tpch_sf1,15832.85189203564,15586.546421130357,16021.967418413778
HUDI,1_core,results_supplier_tpch_sf10,37734.32051472538,37611.408810160916,37839.75149289286
HUDI,1_core,results_supplier_tpch_sf100,116328.20442612904,112353.50634979768,119890.44733593849
HUDI,1_core,results_lineitem_tpch_sf1,178946.12098768278,177169.28547967892,180511.5934999202
HUDI,1_core,results_lineitem_tpch_sf10,1780535.6338438317,1760219.7468222429,1798419.6241497518
HUDI,2_core,results_supplier_tpch_sf1,16001.831587268101,15917.739765131539,16074.530301315728
