Technology,CPU_Cores,Table_name,Mean,Low_CI,High_CI
HDFS,1_core,results_supplier_tpch_sf1,7994.362640538095,7902.306911768454,8077.055667928923
HDFS,1_core,results_supplier_tpch_sf10,73084.38828236648,71951.47941200816,74762.17905550267
HDFS,1_core,results_supplier_tpch_sf100,106592.42248341272,104942.26630402825,108228.50305656067
HDFS,1_core,results_lineitem_tpch_sf1,303725.33887181146,298242.52537301247,310354.9105093704
HDFS,1_core,results_lineitem_tpch_sf10,338395.98157416773,333301.2618842431,343586.10630350176
HDFS,2_core,results_supplier_tpch_sf1,7921.4693252651705,7834.5876864066895,7994.911949054784
HDFS,2_core,results_supplier_tpch_sf10,76445.07714281304,75064.99399700813,78094.3324498725
HDFS,2_core,results_supplier_tpch_sf100,117434.78847322473,114932.31638249662,119856.143096042
HDFS,2_core,results_lineitem_tpch_sf1,368314.404260008,359849.7505269735,377201.9802455941
HDFS,2_core,results_lineitem_tpch_sf10,447557.80759788654,439890.3882924789,455752.8169612042
HDFS,4_core,results_supplier_tpch_sf1,8220.831511655302,8114.824532905889,8317.19182955406
HDFS,4_core,results_supplier_tpch_sf10,74837.42912919859,74105.66157828156,75588.71805652684
HDFS,4_core,results_supplier_tpch_sf100,118860.08684161837,116513.10944796505,121245.82409625057
HDFS,4_core,results_lineitem_tpch_sf1,369822.02680434426,361535.7787972782,377846.52163879527
HDFS,4_core,results_lineitem_tpch_sf10,483471.60108429834,473128.9971811412,493513.43602945434
HDFS,8_core,results_supplier_tpch_sf1,7312.288388183046,6360.326187130221,8004.2234497707495
HDFS,8_core,results_supplier_tpch_sf10,77373.37486005297,76277.82198123155,79021.0457048356
HDFS,8_core,results_supplier_tpch_sf100,120464.39315243225,118058.14482778957,122711.60288377445
HDFS,8_core,results_lineitem_tpch_sf1,381231.2683094118,371267.72006227134,392419.7893136395
HDFS,8_core,results_lineitem_tpch_sf10,492004.31883457076,483165.7933663731,501698.3771925384
LocalFS,1_core,results_supplier_tpch_sf1,252682.38171588365,240734.05366391572,265186.32492780307
LocalFS,1_core,results_supplier_tpch_sf10,656157.3952099709,629367.770493477,684985.1819221753
LocalFS,1_core,results_supplier_tpch_sf100,118729.19450823544,116771.1065254204,120715.1437297387
LocalFS,1_core,results_lineitem_tpch_sf1,335076.7546463322,327227.7026745126,343241.43437584006
LocalFS,1_core,results_lineitem_tpch_sf10,348137.8410449656,343384.2219022711,353464.96691799804
LocalFS,2_core,results_supplier_tpch_sf1,207319.22211852923,200086.26493324444,215493.42016806232
LocalFS,2_core,results_supplier_tpch_sf10,729159.6716467928,711739.6672185388,746138.5402513668
LocalFS,2_core,results_supplier_tpch_sf100,139172.9740321079,136030.55056418612,142096.47442213248
LocalFS,2_core,results_lineitem_tpch_sf1,393021.8564051683,383345.6067384454,403993.5218219414
LocalFS,2_core,results_lineitem_tpch_sf10,462178.14642050467,454384.0330100928,470218.6894963938
LocalFS,4_core,results_supplier_tpch_sf1,218713.64917139531,208026.0426647072,230314.12411306045
LocalFS,4_core,results_supplier_tpch_sf10,758924.2271276696,740794.7477484463,776391.1593959333
LocalFS,4_core,results_supplier_tpch_sf100,139164.32331152866,135806.13661073844,142718.64412579013
LocalFS,4_core,results_lineitem_tpch_sf1,412207.2883589297,401554.5946370511,423226.7875204496
LocalFS,4_core,results_lineitem_tpch_sf10,494330.70498313406,485048.75309479854,503471.56502721505
LocalFS,8_core,results_supplier_tpch_sf1,227120.9567124663,215487.1471585875,239541.28393129012
LocalFS,8_core,results_supplier_tpch_sf10,732701.4109406814,711160.3879481585,752932.0098514593
LocalFS,8_core,results_supplier_tpch_sf100,138337.01370386782,135154.6697306754,141340.41242521984
LocalFS,8_core,results_lineitem_tpch_sf1,420121.6570212865,409241.76697693265,431496.69709759566
LocalFS,8_core,results_lineitem_tpch_sf10,500086.8868111797,490962.88747818716,509492.8693547829
HUDI,1_core,results_supplier_tpch_sf1,199.09343441560182,196.32232542999785,201.87740388407005
HUDI,1_core,results_supplier_tpch_sf10,1678.9264303253553,1661.5446331754852,1697.9467998675348
HUDI,1_core,results_supplier_tpch_sf100,8913.411682753218,8848.840710216233,8978.947435692273
HUDI,1_core,results_lineitem_tpch_sf1,11722.94156790002,11699.630047772263,11747.404108829214
HUDI,1_core,results_lineitem_tpch_sf10,22093.15843262047,21962.316463500818,22223.2048194517
HUDI,2_core,results_supplier_tpch_sf1,197.14513501922934,194.90568510841288,199.57015596940573
HUDI,2_core,results_supplier_tpch_sf10,1672.5734182470253,1653.5957025371229,1695.4907253639167
HUDI,2_core,results_supplier_tpch_sf100,9211.072170178788,9167.475231181957,9258.294860719046
HUDI,2_core,results_lineitem_tpch_sf1,12674.818854617075,12646.557569822327,12702.570334912634
HUDI,2_core,results_lineitem_tpch_sf10,25632.58951571751,25553.975367258146,25707.00211752353
HUDI,4_core,results_supplier_tpch_sf1,194.9901132025718,192.66457385753225,197.539365776229
HUDI,4_core,results_supplier_tpch_sf10,1679.9224057342426,1662.4211602383116,1697.637833216914
HUDI,4_core,results_supplier_tpch_sf100,9189.762169947917,9145.587830252556,9237.689321256685
HUDI,4_core,results_lineitem_tpch_sf1,12448.557935156326,12424.16269163695,12472.862255865235
