Technology,CPU_Cores,Table_name,Mean,Low_CI,High_CI
HDFS,1_core,results_supplier_tpch_sf1,7994.362640538095,7902.306911768454,8077.055667928923
HDFS,1_core,results_supplier_tpch_sf10,73084.38828236648,71951.47941200816,74762.17905550267
HDFS,1_core,results_supplier_tpch_sf100,106592.42248341272,104942.26630402824,108228.50305656069
HDFS,1_core,results_lineitem_tpch_sf1,303725.33887181146,298242.52537301247,310354.9105093704
HDFS,1_core,results_lineitem_tpch_sf10,338395.98157416773,333301.2618842431,343586.10630350176
LocalFS,1_core,results_supplier_tpch_sf1,252682.38171588365,240734.05366391572,265186.32492780307
LocalFS,1_core,results_supplier_tpch_sf10,656157.3952099709,629367.770493477,684985.1819221753
LocalFS,1_core,results_supplier_tpch_sf100,118729.19450823544,116771.1065254204,120715.1437297387
LocalFS,1_core,results_lineitem_tpch_sf1,335076.7546463322,327227.7026745126,343241.43437584006
LocalFS,1_core,results_lineitem_tpch_sf10,348137.8410449656,343384.2219022711,353464.96691799804
HUDI,1_core,results_supplier_tpch_sf1,199.09343441560185,196.32232542999785,201.87740388407005
HUDI,1_core,results_supplier_tpch_sf10,1678.926430325355,1661.5446331754852,1697.9467998675348
HUDI,1_core,results_supplier_tpch_sf100,8913.411682753218,8848.840710216233,8978.947435692273
HUDI,1_core,results_lineitem_tpch_sf1,11722.94156790002,11699.630047772263,11747.404108829214
HUDI,1_core,results_lineitem_tpch_sf10,22093.15843262047,21962.316463500814,22223.2048194517
